SBD,HoTen,NgaySinh,KV,DT,UT,Toan,Van,Ly,Hoa,Sinh,Su,Dia,Anh,Nga,Phap,Trung,Duc,Nhat
TLA052015,Pham Van Nga,5/22/1997,KV3,Khong,Khong,7.5,NA,6.25,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA061480,Nguyen Thi Khoa,10/10/1997,KV2-NT,Khong,Khong,7,4.5,NA,NA,NA,NA,8,7.5,NA,NA,NA,NA,NA
KTA057540,Nguyen Thi Cao,6/3/1997,KV2,NDT2,Khong,7.5,5,6.75,7.5,NA,7.5,NA,3,NA,NA,NA,NA,NA
BKT080452,Nguyen Thi Nguyet,11/26/1997,KV2,Khong,Khong,6,7.5,5.5,5.5,5.75,NA,NA,NA,NA,NA,NA,NA,NA
TMA068617,Nguyen Thi Kiem,8/29/1997,KV2-NT,Khong,Khong,7.75,7.5,7,7.25,4.5,NA,8,NA,NA,NA,NA,NA,NA
BKT093962,Nguyen Thi Kiem,12/16/1997,KV2,Khong,Khong,6.75,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA
KTA062920,Tran Thi Giang,6/5/1997,KV2-NT,Khong,Khong,3.75,5.5,NA,5.5,8.5,NA,7.5,5.25,NA,NA,NA,NA,NA
TLA081014,Hoang Thi Huong,5/24/1997,KV1,Khong,Khong,6.75,6,7.5,6.75,NA,NA,7,3.5,NA,NA,NA,NA,NA
TMA029969,Hoang Van Hue,12/15/1997,KV2,Khong,Khong,8.75,6.75,8,NA,NA,6,NA,3.5,NA,NA,NA,NA,NA
TLA014560,Nguyen Minh Giang,4/1/1997,KV3,Khong,Khong,5.25,4.5,7,NA,9.25,NA,6.5,3.75,NA,NA,NA,NA,NA
TLA040770,Nguyen Thi Dung,1/7/1997,KV3,Khong,Khong,3.75,6.75,NA,5.75,NA,NA,NA,8.25,NA,NA,NA,NA,NA
ABC093108,Tran Xuan Tuan,6/2/1997,KV2,Khong,Khong,6.75,6,6.75,NA,5,NA,NA,8.75,NA,NA,NA,NA,NA
ABC003061,Hoang Van Hung,5/2/1997,KV2-NT,Khong,Khong,9,7,5.25,6.75,5.5,NA,NA,7.25,NA,NA,NA,NA,NA
TLA091070,Nguyen Thi Phuong,3/31/1997,KV2-NT,Khong,Khong,6.5,7.75,NA,5.75,4.25,5.25,NA,8.75,NA,NA,NA,NA,NA
ABC084967,Le Thi Hai,4/29/1997,KV1,Khong,Khong,6.5,8,5,NA,NA,NA,7.75,5.25,NA,NA,NA,NA,NA
TLA063083,Nguyen Van Tuan,6/16/1997,KV2-NT,Khong,Khong,5.5,5,6.5,5.75,NA,NA,6.5,7.5,NA,NA,NA,NA,NA
KTA069327,Nguyen Van Quan,5/24/1997,KV2-NT,Khong,Khong,5.25,5.75,7,7,NA,NA,6.5,NA,NA,NA,NA,NA,NA
TLA086398,Vu Van Tuan,3/20/1997,KV3,Khong,Khong,6,NA,7.25,7.25,8,NA,NA,5,NA,NA,NA,NA,NA
BKT005511,Nguyen Van Cao,10/24/1997,KV2-NT,Khong,Khong,2.25,6.25,NA,7.5,NA,NA,NA,9.25,NA,NA,NA,NA,NA
ABC073996,Le Thi Kiem,5/27/1997,KV2-NT,Khong,Khong,6.5,5.75,NA,6.5,6.25,NA,8,8.5,NA,9.5,NA,NA,NA
BKT067931,Phan Hai Tuan,12/29/1997,KV2-NT,Khong,Khong,7.5,5.5,9,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA083084,Dang Van Hue,11/23/1997,KV3,Khong,Khong,7.5,4.75,7.5,7,NA,NA,NA,3.75,NA,NA,NA,NA,NA
CON024952,Nguyen Van Hoa,3/21/1997,KV3,Khong,Khong,7,6.5,8.75,8.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA
